dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,22.542007,117.558853,0.188333,1.883333,9.416667,47.083333,0.000284
0.200000,23.291353,117.553893,0.937695,3.746810,9.317385,-0.496408,6.269939
0.200000,25.012269,117.504831,2.659311,8.608077,24.306334,74.944743,6.239415
0.200000,27.874602,117.306377,5.528515,14.346021,28.689722,21.916941,6.188543
0.200000,31.856470,116.785994,9.544243,20.078642,28.663102,-0.133099,6.118182
0.200000,36.903795,115.715822,14.703774,25.797650,28.595041,-0.340303,6.031135
0.200000,42.737802,113.907964,20.811473,30.538499,23.704245,-24.453984,5.935872
0.200000,48.895554,111.345725,27.481029,33.347779,14.046400,-48.289222,5.844176
0.200000,54.969448,108.183433,34.328823,34.238971,4.455960,-47.952201,5.764628
0.200000,60.789101,104.597648,41.164480,34.178286,-0.303427,-23.796936,5.699638
0.200000,66.381070,100.685706,47.988952,34.122356,-0.279646,0.118907,5.647945
0.200000,71.780690,96.528688,54.803399,34.072236,-0.250604,0.145211,5.608069
0.200000,77.026617,92.193372,61.608891,34.027460,-0.223879,0.133621,5.578656
0.200000,82.158013,87.735380,68.406311,33.987101,-0.201796,0.110419,5.558622
0.200000,87.213343,83.202483,75.196267,33.949782,-0.186594,0.076009,5.547205
0.200000,92.230153,78.637560,81.979106,33.914194,-0.177939,0.043274,5.543964
0.200000,97.245302,74.081290,88.754895,33.878946,-0.176240,0.008495,5.548771
0.200000,102.295379,69.574634,95.523442,33.842735,-0.181054,-0.024068,5.561814
0.200000,107.417046,65.161356,102.284248,33.804027,-0.193542,-0.062443,5.583596
0.200000,112.647182,60.890619,109.036546,33.761489,-0.212690,-0.095738,5.614943
0.200000,118.022416,56.819864,115.779259,33.713568,-0.239605,-0.134576,5.656997
0.200000,123.577686,53.017762,122.511050,33.658955,-0.273065,-0.167296,5.711153
0.200000,129.343201,49.566704,129.230496,33.597231,-0.308617,-0.177763,5.778882
0.200000,135.339091,46.563547,135.936437,33.529703,-0.337641,-0.145119,5.861341
0.200000,141.567702,44.116157,142.628620,33.460915,-0.343938,-0.031487,5.958677
0.200000,148.005186,42.332818,149.308553,33.399665,-0.306253,0.188427,6.069139
0.200000,154.596915,41.303615,155.980146,33.357966,-0.208493,0.488799,6.188472
0.200000,161.262351,41.078927,162.649368,33.346107,-0.059295,0.745993,0.027158
0.200000,167.910519,41.656110,169.322544,33.365879,0.098859,0.790770,0.144819
0.200000,174.459461,42.982875,176.004530,33.409934,0.220274,0.607071,0.253050
0.200000,180.849564,44.974699,182.697869,33.466692,0.283791,0.317586,0.349116
0.200000,187.046417,47.535392,189.402951,33.525412,0.293602,0.049057,0.432500
0.200000,193.036490,50.572266,196.118872,33.579602,0.270949,-0.113268,0.504066
0.200000,198.820559,54.003945,202.844336,33.627321,0.238593,-0.161776,0.565285
0.200000,204.407338,57.762304,209.577639,33.666517,0.195979,-0.213070,0.617742
0.200000,209.761631,61.755484,216.257006,33.396833,-1.348417,-7.721981,0.670622
0.200000,214.293367,66.474710,222.799767,32.713803,-3.415151,-10.333670,0.921875
0.200000,217.888070,72.074165,229.453772,33.270029,2.781128,30.981394,1.059814
0.200000,221.024542,78.045357,236.198591,33.724096,2.270337,-2.553957,1.099480
0.200000,224.224266,84.070388,243.020559,34.109835,1.928697,-1.708197,1.050708
0.200000,227.955748,89.718038,249.789599,33.845200,-1.323176,-16.259365,0.905700
0.200000,232.422250,94.281873,256.175382,31.928917,-9.581414,-41.291192,0.672084
0.200000,237.179358,97.183431,261.747556,27.860867,-20.340251,-53.794182,0.420991
0.200000,241.402587,98.598818,266.201653,22.270486,-27.951906,-38.058277,0.229922
0.200000,244.623482,99.145683,269.468643,16.334953,-29.677666,-8.628800,0.109647
0.200000,246.709305,99.303642,271.560439,10.458977,-29.379882,1.488922,0.042834
0.200000,247.771586,99.332522,272.623112,5.313365,-25.728060,18.259108,0.011847
0.200000,248.138245,99.334980,272.989780,1.833340,-17.400121,41.639696,0.001597
0.200000,248.196112,99.335026,273.047646,0.289334,-7.720034,48.400433,0.000000
0.200000,248.196112,99.335026,273.047646,0.000000,-1.446668,31.366831,0.000000
