dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,22.624599,115.808779,0.188333,1.883333,9.416667,47.083333,6.281390
0.200000,23.363552,115.801431,0.927323,3.694946,9.058063,-1.793018,6.265017
0.200000,25.023577,115.739585,2.588500,8.305886,23.054700,69.983184,6.226473
0.200000,27.775816,115.488719,5.352148,13.818241,27.561777,22.535386,6.156997
0.200000,31.573217,114.801621,9.211210,19.295308,27.385334,-0.882215,6.049484
0.200000,36.288432,113.300332,14.159656,24.742234,27.234629,-0.753524,5.898801
0.200000,41.500449,110.618796,20.021035,29.306892,22.823290,-22.056693,5.718992
0.200000,46.610806,106.709541,26.455164,32.170648,14.318781,-42.522547,5.547963
0.200000,51.231402,101.910616,33.116965,33.309002,5.691769,-43.135060,5.418235
0.200000,55.350835,96.617636,39.824078,33.535566,1.132819,-22.794751,5.337047
0.200000,59.173381,91.058458,46.570656,33.732890,0.986622,-0.730984,5.299313
0.200000,62.916255,85.403163,53.352357,33.908505,0.878073,-0.542747,5.301264
0.200000,66.800690,79.802216,60.168473,34.080582,0.860384,-0.088444,5.343113
0.200000,71.055133,74.429764,67.021467,34.264969,0.921939,0.307773,5.428948
0.200000,75.901683,69.528812,73.914099,34.463160,0.990955,0.345080,5.563647
0.200000,81.489748,65.433009,80.842452,34.641763,0.893015,-0.489700,5.743991
0.200000,87.413831,62.304140,87.542048,33.497980,-5.718914,-33.059644,5.813873
0.200000,93.506960,59.290106,94.339887,33.989197,2.456082,40.874982,5.834398
0.200000,99.669430,56.412387,101.141159,34.006360,0.085818,-11.851323,5.858901
0.200000,105.909769,53.698336,107.946150,34.024956,0.092978,0.035799,5.887732
0.200000,112.235370,51.178484,114.755180,34.045148,0.100959,0.039908,5.921274
0.200000,118.651833,48.886888,121.568579,34.066994,0.109233,0.041371,5.959929
0.200000,125.162068,46.861274,128.386663,34.090422,0.117139,0.039528,6.004087
0.200000,131.765148,45.142843,135.209688,34.115123,0.123505,0.031832,6.054071
0.200000,138.454947,43.775503,142.037794,34.140530,0.127036,0.017654,6.110070
0.200000,145.218708,42.804312,148.870924,34.165653,0.125612,-0.007118,6.172044
0.200000,152.035855,42.272929,155.708751,34.189130,0.117386,-0.041131,6.239620
0.200000,158.877502,42.220112,162.550602,34.209257,0.100636,-0.083750,0.028834
0.200000,165.707181,42.675635,169.395455,34.224264,0.075034,-0.128010,0.104837
0.200000,172.483087,43.656464,176.241981,34.232632,0.041839,-0.165974,0.182859
0.200000,179.161717,45.164248,183.088696,34.233576,0.004717,-0.185610,0.261109
0.200000,185.702106,47.184990,189.934139,34.227215,-0.031804,-0.182606,0.337821
0.200000,192.069585,49.691054,196.777030,34.214452,-0.063812,-0.160043,0.411472
0.200000,198.238235,52.644887,203.616428,34.196991,-0.087304,-0.117458,0.480927
0.200000,204.191552,56.003340,210.451718,34.176450,-0.102709,-0.077022,0.545484
0.200000,209.921802,59.721652,217.282648,34.154650,-0.108997,-0.031441,0.604840
0.200000,215.109257,64.309166,224.207602,34.624767,2.350584,12.297903,0.857654
0.200000,219.106650,69.963947,231.132607,34.625027,0.001297,-11.746436,1.033651
0.200000,222.357455,75.979294,237.970161,34.187769,-2.186290,-10.937932,1.100940
0.200000,225.447456,81.988950,244.727680,33.787596,-2.000862,0.927140,1.075495
0.200000,228.865830,87.596909,251.295365,32.838425,-4.745858,-13.724983,0.953196
0.200000,232.870838,92.175796,257.378644,30.416396,-12.110143,-36.821424,0.733235
0.200000,237.208292,95.184613,262.657516,26.394360,-20.110182,-40.000194,0.473952
0.200000,241.209227,96.723102,266.944056,21.432702,-24.808287,-23.490524,0.264325
0.200000,244.375436,97.347957,270.171334,16.136390,-26.481562,-8.366375,0.129326
0.200000,246.517033,97.541563,272.321665,10.751654,-26.923679,-2.210585,0.052744
0.200000,247.673028,97.580919,273.478330,5.783323,-24.841656,10.410113,0.015794
0.200000,248.111168,97.584918,273.916488,2.190790,-17.962664,34.394960,0.002527
0.200000,248.196112,97.585026,274.001432,0.424723,-8.830338,45.661633,6.283185
0.200000,248.196112,97.585026,274.001432,0.000000,-2.123613,33.533622,6.283185
