dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,21.497927,111.662903,0.188333,1.883333,9.416667,47.083333,6.282764
0.200000,22.261313,111.658174,0.951734,3.817003,9.668350,1.258419,6.271253
0.200000,23.977720,111.615979,2.668660,8.584628,23.838122,70.848859,6.246140
0.200000,26.832367,111.453088,5.527950,14.296452,28.559121,23.604996,6.206739
0.200000,30.809939,111.046220,9.526277,19.991636,28.475919,-0.416012,6.156750
0.200000,35.881383,110.253613,14.659285,25.665037,28.367007,-0.544558,6.101119
0.200000,41.821076,108.986631,20.732604,30.366595,23.507790,-24.296084,6.046952
0.200000,48.229013,107.279558,27.364025,33.157105,13.952546,-47.776220,6.000852
0.200000,54.733489,105.262352,34.174115,34.050453,4.466741,-47.429027,5.966072
0.200000,61.167522,103.060544,40.974464,34.001743,-0.243551,-23.551463,5.942644
0.200000,67.552022,100.745005,47.765897,33.957166,-0.222881,0.103352,5.929524
0.200000,73.909319,98.379920,54.548879,33.914912,-0.211273,0.058038,5.926115
0.200000,80.261987,96.026406,61.323495,33.873077,-0.209175,0.010490,5.932261
0.200000,86.632044,93.745972,68.089440,33.829726,-0.216751,-0.037879,5.948244
0.200000,93.040093,91.603937,74.846022,33.782911,-0.234079,-0.086638,5.974786
0.200000,99.503911,89.672906,81.592119,33.730486,-0.262123,-0.140219,6.013062
0.200000,106.036073,88.036116,88.326228,33.670543,-0.299717,-0.187972,6.064658
0.200000,112.639868,86.790054,95.046553,33.601628,-0.344574,-0.224287,6.131430
0.200000,119.303145,86.044644,101.751395,33.524208,-0.387101,-0.212634,6.215085
0.200000,125.990473,85.917991,108.439922,33.442636,-0.407856,-0.103774,0.033163
0.200000,132.636561,86.521954,115.113396,33.367370,-0.376333,0.157618,0.150514
0.200000,139.147225,87.937961,121.776265,33.314346,-0.265121,0.556058,0.279106
0.200000,145.414035,90.191401,128.435913,33.298237,-0.080544,0.922884,0.411091
0.200000,151.339951,93.240934,135.100455,33.322713,0.122382,1.014630,0.537926
0.200000,156.861738,96.992073,141.775871,33.377077,0.271819,0.747185,0.653201
0.200000,161.956887,101.325908,148.464867,33.444982,0.339526,0.338536,0.753921
0.200000,166.635689,106.125324,155.167521,33.513272,0.341447,0.009606,0.839936
0.200000,170.927830,111.289333,161.882390,33.574345,0.305367,-0.180399,0.912669
0.200000,174.871170,116.737139,168.607606,33.626079,0.258668,-0.233495,0.974099
0.200000,178.504573,122.406423,175.341282,33.668380,0.211507,-0.235808,1.026186
0.200000,181.790979,128.154321,181.962369,33.105435,-2.814723,-15.131150,1.083303
0.200000,184.712715,134.198612,188.675788,33.567095,2.308299,25.615109,1.157624
0.200000,187.182726,140.442910,195.390862,33.575367,0.041358,-11.334703,1.230140
0.200000,189.206058,146.849556,202.109417,33.592779,0.087061,0.228515,1.298847
0.200000,190.803131,153.380701,208.832995,33.617888,0.125543,0.192412,1.362049
0.200000,192.007378,160.001783,215.562701,33.648530,0.153214,0.138352,1.418505
0.200000,192.861746,166.683886,222.299201,33.682501,0.169854,0.083203,1.467449
0.200000,193.415072,173.404732,229.042787,33.717927,0.177127,0.036364,1.508523
0.200000,193.719052,180.148584,235.793486,33.753499,0.177861,0.003669,1.541656
0.200000,193.826143,186.905430,242.551180,33.788470,0.174854,-0.015036,1.566942
0.200000,193.788379,193.669833,249.315689,33.822545,0.170378,-0.022381,1.584547
0.200000,193.659026,200.352129,255.999237,33.417737,-2.024043,-10.972103,1.594543
0.200000,193.496555,206.676222,262.325416,31.630898,-8.934191,-34.550742,1.597346
0.200000,193.353836,212.265193,267.916210,27.953966,-18.384664,-47.252361,1.594471
0.200000,193.258375,216.828439,272.480454,22.821222,-25.663717,-36.395265,1.588395
0.200000,193.209053,220.262961,275.915330,17.174379,-28.234215,-12.852491,1.581598
0.200000,193.190495,222.566751,278.219195,11.519324,-28.275277,-0.205309,1.575960
0.200000,193.186137,223.826374,279.478825,6.298154,-26.105849,10.847137,1.572510
0.200000,193.185641,224.317914,279.970366,2.457704,-19.202253,34.517983,1.571092
0.200000,193.185626,224.418829,280.071281,0.504574,-9.765649,47.183018,1.570796
0.200000,193.185626,224.418829,280.071281,0.000000,-2.522868,36.213903,1.570796
