dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,21.497559,110.787903,0.188333,1.883333,9.416667,47.083333,6.282764
0.200000,22.250873,110.783237,0.941667,5.650000,18.833333,47.083333,6.271253
0.200000,23.945313,110.741579,2.636667,11.300000,28.250000,47.083333,6.246140
0.200000,26.765542,110.580644,5.461667,16.950000,28.250000,0.000000,6.206739
0.200000,30.699603,110.178205,9.416667,22.600000,28.250000,-0.000000,6.156750
0.200000,35.722953,109.393075,14.501667,28.250000,28.250000,0.000000,6.101119
0.200000,41.616289,108.135933,20.528333,32.016667,18.833333,-47.083333,6.046952
0.200000,47.985240,106.439201,27.120000,33.900000,9.416667,-47.083333,6.000852
0.200000,54.460641,104.430980,33.900000,33.900000,0.000000,-47.083333,5.966072
0.200000,60.875274,102.235792,40.680000,33.900000,0.000000,0.000000,5.942644
0.200000,67.248979,99.924158,47.460000,33.900000,0.000000,0.000000,5.929524
0.200000,73.603480,97.560111,54.240000,33.900000,0.000000,0.000000,5.926115
0.200000,79.961192,95.204733,61.020000,33.900000,0.000000,0.000000,5.932261
0.200000,86.344420,92.919596,67.800000,33.900000,0.000000,0.000000,5.948244
0.200000,92.774501,90.770219,74.580000,33.900000,0.000000,0.000000,5.974786
0.200000,99.270417,88.829635,81.360000,33.900000,0.000000,0.000000,6.013062
0.200000,105.846380,87.181925,88.140000,33.900000,0.000000,0.000000,6.064658
0.200000,112.507591,85.925110,94.920000,33.900000,0.000000,0.000000,6.131430
0.200000,119.243603,85.171673,101.700000,33.900000,0.000000,0.000000,6.215085
0.200000,126.019485,85.043472,108.480000,33.900000,0.000000,0.000000,0.033163
0.200000,132.767764,85.656847,115.260000,33.900000,0.000000,0.000000,0.150514
0.200000,139.388284,87.096822,122.040000,33.900000,0.000000,0.000000,0.279106
0.200000,145.763694,89.389302,128.820000,33.900000,0.000000,0.000000,0.411091
0.200000,151.788263,92.489508,135.600000,33.900000,0.000000,0.000000,0.537926
0.200000,157.393503,96.297198,142.380000,33.900000,0.000000,0.000000,0.653201
0.200000,162.555827,100.688024,149.160000,33.900000,0.000000,0.000000,0.753921
0.200000,167.287214,105.541252,155.940000,33.900000,0.000000,0.000000,0.839936
0.200000,171.620076,110.754152,162.720000,33.900000,0.000000,0.000000,0.912669
0.200000,175.594967,116.245465,169.500000,33.900000,0.000000,0.000000,0.974099
0.200000,179.252986,121.953099,176.280000,33.900000,0.000000,0.000000,1.026186
0.200000,182.564050,127.744459,183.060000,33.900000,0.000000,0.000000,1.083303
0.200000,185.514086,133.847284,189.840000,33.900000,0.000000,0.000000,1.157624
0.200000,188.007444,140.150567,196.620000,33.900000,0.000000,0.000000,1.230140
0.200000,190.048901,146.614523,203.400000,33.900000,0.000000,0.000000,1.298847
0.200000,191.659136,153.199371,210.180000,33.900000,0.000000,0.000000,1.362049
0.200000,192.872251,159.869043,216.960000,33.900000,0.000000,0.000000,1.418505
0.200000,193.732077,166.593618,223.740000,33.900000,0.000000,0.000000,1.467449
0.200000,194.288376,173.350278,230.520000,33.900000,0.000000,0.000000,1.508523
0.200000,194.593681,180.123090,237.300000,33.900000,0.000000,0.000000,1.541656
0.200000,194.701136,186.902057,244.080000,33.900000,0.000000,0.000000,1.566942
0.200000,194.663296,193.681864,250.860000,33.900000,0.000000,0.000000,1.584547
0.200000,194.533780,200.372905,257.552322,33.023225,-4.383876,-21.919381,1.594543
0.200000,194.371247,206.699450,263.880957,30.263116,-13.800543,-47.083333,1.597346
0.200000,194.228591,212.285906,269.469236,25.619674,-23.217210,-47.083333,1.594471
0.200000,194.133239,216.843837,274.028170,19.969674,-28.250000,-25.163952,1.588395
0.200000,194.084002,220.272412,277.457105,14.319674,-28.250000,-0.000000,1.581598
0.200000,194.065484,222.571269,279.756040,8.669674,-28.250000,0.000000,1.575960
0.200000,194.061135,223.827873,281.012653,3.896449,-23.866124,21.919381,1.572510
0.200000,194.060641,224.318173,281.502953,1.006558,-14.449457,47.083333,1.571092
0.200000,194.060626,224.418829,281.603609,0.000000,-5.032790,47.083333,1.570796
0.200000,194.060626,224.418829,281.603609,0.000000,0.000000,25.163952,1.570796
