dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,21.497191,109.912903,0.188333,1.883333,9.416667,47.083333,6.282764
0.200000,22.240433,109.908299,0.931590,3.716284,9.164755,-1.259557,6.271253
0.200000,23.912906,109.867180,2.604569,8.364892,23.243036,70.391401,6.246140
0.200000,26.698716,109.708199,5.394911,13.951712,27.934104,23.455344,6.206739
0.200000,30.589266,109.310189,9.305767,19.554279,28.012835,0.393653,6.156750
0.200000,35.564524,108.532537,14.341433,25.178332,28.120263,0.537142,6.101119
0.200000,41.411502,107.285235,20.319971,29.892689,23.571786,-22.742387,6.046952
0.200000,47.741467,105.598844,26.870724,32.753767,14.305388,-46.331990,6.000852
0.200000,54.187794,103.599608,33.619952,33.746139,4.961862,-46.717632,5.966072
0.200000,60.583027,101.411040,40.379303,33.796756,0.253083,-23.543891,5.942644
0.200000,66.945936,99.103311,47.147777,33.842368,0.228061,-0.125113,5.929524
0.200000,73.297640,96.740302,53.924794,33.885084,0.213582,-0.072397,5.926115
0.200000,79.660397,94.383059,60.710165,33.926856,0.208861,-0.023601,5.932261
0.200000,86.056795,92.093220,67.504079,33.969570,0.213568,0.023534,5.948244
0.200000,92.508909,89.936501,74.307109,34.015151,0.227903,0.071677,5.974786
0.200000,99.036923,87.986364,81.120184,34.065374,0.251118,0.116071,6.013062
0.200000,105.656687,86.327735,87.944577,34.121962,0.282938,0.159103,6.064658
0.200000,112.375313,85.060167,94.781730,34.185769,0.319036,0.180486,6.131430
0.200000,119.184061,84.298701,101.632926,34.255977,0.351038,0.160010,6.215085
0.200000,126.048497,84.168953,108.498588,34.328311,0.361671,0.053166,0.033163
0.200000,132.898967,84.791739,115.377308,34.393601,0.326451,-0.176098,0.150514
0.200000,139.629344,86.255683,122.265058,34.438751,0.225751,-0.503499,0.279106
0.200000,146.113353,88.587202,129.155512,34.452270,0.067594,-0.790785,0.411091
0.200000,152.236574,91.738081,136.041867,34.431773,-0.102486,-0.850400,0.537926
0.200000,157.925268,95.602323,142.918902,34.385175,-0.232991,-0.652524,0.653201
0.200000,163.154767,100.050140,149.784084,34.325913,-0.296312,-0.316606,0.753921
0.200000,167.938739,104.957180,156.637217,34.265664,-0.301243,-0.024655,0.839936
0.200000,172.312323,110.218970,163.479342,34.210624,-0.275200,0.130214,0.912669
0.200000,176.318764,115.753791,170.312043,34.163507,-0.235587,0.198068,0.974099
0.200000,180.001399,121.499775,177.136861,34.124087,-0.197100,0.192433,1.026186
0.200000,183.337121,127.334598,183.857888,33.605134,-2.594761,-11.988303,1.083303
0.200000,186.315456,133.495957,190.701338,34.217255,3.060600,28.276805,1.157624
0.200000,188.832163,139.858225,197.543288,34.209750,-0.037524,-15.490624,1.230140
0.200000,190.891744,146.379490,204.382058,34.193848,-0.079509,-0.209924,1.298847
0.200000,192.515141,153.018041,211.216220,34.170811,-0.115183,-0.178367,1.362049
0.200000,193.737123,159.736302,218.044710,34.142448,-0.141815,-0.133164,1.418505
0.200000,194.602409,166.503350,224.866854,34.110722,-0.158633,-0.084087,1.467449
0.200000,195.161680,173.295824,231.682314,34.077300,-0.167108,-0.042377,1.508523
0.200000,195.468309,180.097595,238.490993,34.043395,-0.169528,-0.012099,1.541656
0.200000,195.576130,186.898685,245.292938,34.009723,-0.168359,0.005846,1.566942
0.200000,195.538214,193.693895,252.088254,33.976581,-0.165711,0.013236,1.584547
0.200000,195.408533,200.393682,258.789296,33.505208,-2.356861,-10.955746,1.594543
0.200000,195.245939,206.722678,265.120380,31.655422,-9.248931,-34.460352,1.597346
0.200000,195.103345,212.306619,270.706141,27.928806,-18.633079,-46.920742,1.594471
0.200000,195.008104,216.859234,275.259753,22.768056,-25.803751,-35.853356,1.588395
0.200000,194.958951,220.281862,278.682734,17.114905,-28.265758,-12.310037,1.581598
0.200000,194.940472,222.575787,280.976733,11.469997,-28.224538,0.206099,1.575960
0.200000,194.936134,223.829372,282.230325,6.267962,-26.010175,11.071815,1.572510
0.200000,194.935641,224.318432,282.719386,2.445301,-19.113303,34.484363,1.571092
0.200000,194.935626,224.418829,282.819782,0.501984,-9.716585,46.983586,1.570796
0.200000,194.935626,224.418829,282.819782,0.000000,-2.509922,36.033318,1.570796
